title,category,publish_date,title_en,title_en_stopwords_removed,sentiment
BNI Kenalkan Diaspora Saving dalam Acara Indonesian Day di London,detikFinance,2022-11-08 10:23:00,BNI Introduces Diaspora Saving at Indonesian Day Event in London,BNI Introduces Diaspora Saving Indonesian Day Event London,POSITIVE
BNI Gandeng Semen Indonesia Garap Potensi Value Chain Jaringan Supply,detikFinance,2022-10-26 15:41:00,BNI Partners with Semen Indonesia to Develop Potential Value Chain Supply Network,BNI Partners Semen Indonesia Develop Potential Value Chain Supply Network,POSITIVE
"Pertumbuhan Kredit BNI Tembus Rp 622,61 T, Ini Fokus Segmennya",detikFinance,2022-10-24 17:57:00,"BNI Credit Growth Reaches IDR 622.61 T, This is the Segment Focus","BNI Credit Growth Reaches IDR 622.61 , Segment Focus",POSITIVE
"Genjot Layanan Perbankan, BNI Gandeng 3 Bank Daerah di Kalimantan",detikFinance,2022-10-19 09:47:00,"Boosting Banking Services, BNI Partners with 3 Regional Banks in Kalimantan","Boosting Banking Services , BNI Partners 3 Regional Banks Kalimantan",POSITIVE
"Viral Orang Punya Pendapatan Rp 1 M/Bulan, Setara Gaji Bos Bank BUMN!",detikFinance,2022-10-18 10:17:00,"Viral: People Have Income of IDR 1 Billion/Month, Equivalent to the Salary of a State-Owned Bank Boss!","Viral : People Income IDR 1 Billion/Month , Equivalent Salary State-Owned Bank Boss !",NEGATIVE
"Perkuat Layanan Nasabah, BNI Kerja Sama dengan Bank Papua",detikFinance,2022-10-14 15:24:00,"Strengthening Customer Service, BNI Cooperates with Bank Papua","Strengthening Customer Service , BNI Cooperates Bank Papua",POSITIVE
BNIDirect Sukses Jadi Seamless Financial Platform,detikFinance,2022-10-13 11:03:00,BNIDirect Successfully Becomes a Seamless Financial Platform,BNIDirect Successfully Becomes Seamless Financial Platform,POSITIVE
BNI Pacu Transaksi BNIDirect Lewat Inovasi Fitur & Layanan Baru,detikFinance,2022-10-09 13:26:00,BNI Boosts BNIDirect Transactions Through New Feature & Service Innovations,BNI Boosts BNIDirect Transactions New Feature & Service Innovations,POSITIVE
BNI dan BSG Kerja Sama Perluas Ekosistem Smart Province di Sulut,detikFinance,2022-10-04 19:12:00,BNI and BSG Collaborate to Expand Smart Province Ecosystem in North Sulawesi,BNI BSG Collaborate Expand Smart Province Ecosystem North Sulawesi,POSITIVE
Strategi BNI Dukung Ekspansi UMKM di Semester Kedua 2022,detikFinance,2022-09-27 16:06:00,BNI's Strategy to Support MSME Expansion in the Second Semester of 2022,BNI 's Strategy Support MSME Expansion Second Semester 2022,POSITIVE
"Dorong Kinerja UMKM Lokal, BNI Dukung Pameran Kriya Nusantara",detikFinance,2022-09-22 10:45:00,"Encouraging the Performance of Local MSMEs, BNI Supports the Nusantara Craft Exhibition","Encouraging Performance Local MSMEs , BNI Supports Nusantara Craft Exhibition",POSITIVE
BNI Diingatkan Jangan Lupa Misi Jadi Bank Kelas Dunia,detikFinance,2022-09-13 21:10:00,BNI Reminded Not to Forget Mission to Become a World Class Bank,BNI Reminded Forget Mission Become World Class Bank,POSITIVE
Strategi BNI Tingkatkan Nilai Tambah Bisnis 6 Anak Perusahaan,detikFinance,2022-09-13 20:12:00,BNI Strategy to Increase Business Added Value of 6 Subsidiaries,BNI Strategy Increase Business Added Value 6 Subsidiaries,POSITIVE
"BNI Cetak Laba Rp 8,8 T di Semester I, Janjikan Dividen Bisa Lebih Gede",detikFinance,2022-09-13 17:35:00,"BNI Posts Rp 8.8 T Profit in Semester I, Promises Bigger Dividends","BNI Posts Rp 8.8 Profit Semester , Promises Bigger Dividends",POSITIVE
Anggota DPR Tanya ke Bos BTN: Apa Benar Mau Diakuisisi BNI atau Mandiri?,detikFinance,2022-09-13 17:00:00,House Members Ask BTN Boss: Is It True That They Want to Be Acquired by BNI or Mandiri?,House Members Ask BTN Boss : True Want Acquired BNI Mandiri ?,NEGATIVE
Strategi BNI Jaga Kredit Tumbuh 7-10% Tahun Ini,detikFinance,2022-09-07 11:43:00,BNI Strategy to Maintain Credit Growth of 7-10% This Year,BNI Strategy Maintain Credit Growth 7-10 % Year,POSITIVE
"Laba Bersih BNI di Semester I 2022 Capai Rp 8,8 Triliun",detikFinance,2022-08-31 17:08:00,BNI's Net Profit in Semester I 2022 Reaches IDR 8.8 Trillion,BNI 's Net Profit Semester 2022 Reaches IDR 8.8 Trillion,POSITIVE
"Optimalkan Food Expo 2022, BNI Boyong Rempah Lokal ke Pasar Hong Kong",detikFinance,2022-08-11 16:29:00,"Optimizing Food Expo 2022, BNI Brings Local Spices to Hong Kong Market","Optimizing Food Expo 2022 , BNI Brings Local Spices Hong Kong Market",POSITIVE
BNI Kelola Jasa Penyaluran Gaji Karyawan Pelindo Terminal Petikemas,detikFinance,2022-08-02 18:27:00,BNI Manages Pelindo Container Terminal Employee Salary Distribution Services,BNI Manages Pelindo Container Terminal Employee Salary Distribution Services,POSITIVE
"BNI Fokus Garap Green Banking, Ini Kata Pengamat",detikFinance,2022-08-01 13:19:00,"BNI Focuses on Developing Green Banking, Here's What Observers Say","BNI Focuses Developing Green Banking , 's Observers Say",POSITIVE
"Cetak Laba Terbaik, Kinerja BNI Diapresiasi Erick Thohir",detikFinance,2022-07-31 12:35:00,"Printing Best Profit, BNI Performance Appreciated by Erick Thohir","Printing Best Profit , BNI Performance Appreciated Erick Thohir",POSITIVE
"Green Financing BNI Tembus Rp 176,6 Triliun di Semester I 2022",detikFinance,2022-07-29 18:02:00,BNI Green Financing Reaches IDR 176.6 Trillion in Semester I 2022,BNI Green Financing Reaches IDR 176.6 Trillion Semester 2022,POSITIVE
BNI Sebut Bunga KPR Lagi Rendah-rendahnya,detikFinance,2022-07-29 17:20:00,BNI Says Mortgage Interest Rates Are at Their Lowest Yet,BNI Says Mortgage Interest Rates Lowest Yet,POSITIVE
IHSG Tembus Level 7.000 Lagi!,detikFinance,2022-07-29 09:12:00,"IHSG Breaks Through Level 7,000 Again!","IHSG Breaks Level 7,000 !",POSITIVE
"IHSG Menguat Lagi, Terus Dekati Level 7.000",detikFinance,2022-07-28 09:10:00,"IHSG Strengthens Again, Continues to Approach Level 7,000","IHSG Strengthens , Continues Approach Level 7,000",POSITIVE
"Marak Sentimen Negatif, IHSG Bakal Bergerak Terbatas",detikFinance,2022-07-15 08:46:00,"Negative Sentiment Rampant, IHSG Will Move Limitedly","Negative Sentiment Rampant , IHSG Move Limitedly",NEGATIVE
Pesan Menteri BUMN Erick Thohir di HUT Ke-76 BNI,detikFinance,2022-07-07 20:16:00,Message from Minister of State-Owned Enterprises Erick Thohir on BNI's 76th Anniversary,Message Minister State-Owned Enterprises Erick Thohir BNI 's 76th Anniversary,POSITIVE
"IHSG Dibuka Loyo, Cek Saham-saham Rekomendasi Ini",detikFinance,2022-07-06 09:14:00,"IHSG Opens Weakly, Check These Recommended Stocks","IHSG Opens Weakly , Check Recommended Stocks",NEGATIVE
"Kemarin Anjlok, IHSG Ada Potensi Rebound",detikFinance,2022-07-05 08:52:00,"Yesterday's Drop, IHSG Has Potential to Rebound","Yesterday 's Drop , IHSG Potential Rebound",NEGATIVE
Lebih Untung Diguyur Promo BNI HUT Ke-76,detikFinance,2022-07-03 14:05:00,More Profits with BNI's 76th Anniversary Promo,Profits BNI 's 76th Anniversary Promo,POSITIVE
"Pengguna BNI Mobile Banking Naik Signifikan, Transaksi Ikut Tumbuh",detikFinance,2022-06-18 12:14:00,"BNI Mobile Banking Users Increase Significantly, Transactions Also Grow","BNI Mobile Banking Users Increase Significantly , Transactions Also Grow",POSITIVE
"Ekspansi Pasar Jepang, BNI Tokyo Pindah Ke Business District",detikFinance,2022-06-09 18:46:00,"Japanese Market Expansion, BNI Tokyo Moves to Business District","Japanese Market Expansion , BNI Tokyo Moves Business District",POSITIVE
BNI Berpotensi Garap Perdagangan RI-Korsel hingga US$ 30 Miliar,detikFinance,2022-06-02 15:20:00,BNI Potentially Works on RI-South Korea Trade of Up to US$ 30 Billion,BNI Potentially Works RI-South Korea Trade US $ 30 Billion,POSITIVE
"Naik 21,9%, Transaksi BNI Tembus Rp 5,7 M di Java Jazz Festival 2022",detikFinance,2022-06-01 17:17:00,"Up 21.9%, BNI Transactions Reach IDR 5.7 Billion at Java Jazz Festival 2022","21.9 % , BNI Transactions Reach IDR 5.7 Billion Java Jazz Festival 2022",POSITIVE
"Perluas Bisnis Internasional, BNI-KB Kookmin Bank Tandatangani MoU",detikFinance,2022-05-31 10:00:00,"Expanding International Business, BNI-KB Kookmin Bank Signs MoU","Expanding International Business , BNI-KB Kookmin Bank Signs MoU",POSITIVE
Transaksi di BNI Java Jazz 2022 Makin Praktis Pakai Kartu Debit-QRIS,detikFinance,2022-05-28 09:33:00,Transactions at BNI Java Jazz 2022 Are More Practical Using Debit Cards-QRIS,Transactions BNI Java Jazz 2022 Practical Using Debit Cards-QRIS,POSITIVE
"IHSG Merangkak Lagi, Mulai 'Pepet' Level 7.000",detikFinance,2022-05-23 09:15:00,"IHSG Crawling Again, Starting to 'Pinch' Level 7,000","IHSG Crawling , Starting 'Pinch ' Level 7,000",POSITIVE
3 Strategi BNI Dorong Pertumbuhan KUR,detikFinance,2022-05-22 18:58:00,3 BNI Strategies to Drive KUR Growth,3 BNI Strategies Drive KUR Growth,POSITIVE
"Jelang Akhir Pekan, IHSG Dibuka Cerah",detikFinance,2022-05-20 09:26:00,"Ahead of Weekend, IHSG Opens Brightly","Ahead Weekend , IHSG Opens Brightly",POSITIVE
"Nah Lho! IHSG Jeblok Lagi, Pagi Ini Turun 1,8%",detikFinance,2022-05-19 09:30:00,"Oh My! IHSG Plunges Again, Down 1.8% This Morning","Oh ! IHSG Plunges , 1.8 % Morning",NEGATIVE
"Intip Gaji Komisaris Direksi Bank BUMN-Swasta Top RI, Tembus Miliaran!",detikFinance,2022-05-17 18:30:00,"Peek at the Salaries of Commissioners and Directors of Top State-Owned and Private Banks in Indonesia, Reaching Billions!","Peek Salaries Commissioners Directors Top State-Owned Private Banks Indonesia , Reaching Billions !",POSITIVE
"Hingga Maret 2022, BNI Kucurkan Rp 170,5 T untuk Pembiayaan Hijau",detikFinance,2022-05-13 16:55:00,"Until March 2022, BNI Disburses IDR 170.5 T for Green Financing","March 2022 , BNI Disburses IDR 170.5 Green Financing",POSITIVE
"Dorong Kinerja UMKM, BNI Kolaborasikan Program Training dan Financing",detikFinance,2022-05-12 20:50:00,"Boosting MSME Performance, BNI Collaborates on Training and Financing Programs","Boosting MSME Performance , BNI Collaborates Training Financing Programs",POSITIVE
"BNI Terbitkan Green Bond, Target Himpun Dana Rp 5 Triliun",detikFinance,2022-05-11 20:07:00,"BNI Issues Green Bond, Targets to Raise IDR 5 Trillion","BNI Issues Green Bond , Targets Raise IDR 5 Trillion",NEGATIVE
"IHSG Anjlok, Saatnya Borong Saham Bank Besar",detikFinance,2022-05-11 08:56:00,"IHSG Plunges, Time to Buy Big Bank Shares","IHSG Plunges , Time Buy Big Bank Shares",NEGATIVE
BNI Sasar Downstream Sector,detikFinance,2022-05-08 18:24:00,BNI Targets Downstream Sector,BNI Targets Downstream Sector,NEGATIVE
Nasabah di Amerika Ungkap Dukungan BNI untuk UMKM di Luar Negeri,detikFinance,2022-05-05 19:40:00,Customers in America Express BNI's Support for MSMEs Abroad,Customers America Express BNI 's Support MSMEs Abroad,POSITIVE
BNI Fasilitasi Kegiatan Ekspor-Impor 200.000 Diaspora di AS,detikFinance,2022-05-04 15:22:00,"BNI Facilitates Export-Import Activities of 200,000 Diaspora in the US","BNI Facilitates Export-Import Activities 200,000 Diaspora US",POSITIVE
"Moncer! BNI Cuan Rp 3,96 T, Laba Bersih Naik 63% di Kuartal I",detikFinance,2022-04-26 11:25:00,"Brilliant! BNI Profits Rp3.96 T, Net Profit Up 63% in Q1","Brilliant ! BNI Profits Rp3.96 , Net Profit 63 % Q1",POSITIVE
BNI dan LPEI Siapkan Penjaminan untuk Kredit UMKM Ekspor,detikFinance,2022-04-25 16:21:00,BNI and LPEI Prepare Guarantees for Export MSME Credit,BNI LPEI Prepare Guarantees Export MSME Credit,POSITIVE
"IHSG Hari Ini Dibuka 'Berdarah', Cek Saham-saham yang Bisa Dibeli!",detikFinance,2022-04-22 09:06:00,"IHSG Opens 'Bloody' Today, Check Out the Stocks You Can Buy!","IHSG Opens 'Bloody ' Today , Check Stocks Buy !",POSITIVE
IHSG Hari Ini Tancap Gas Lagi! Saham MEDC Hingga PGAS Masih Bisa Dibeli,detikFinance,2022-04-21 09:07:00,IHSG Today Steps on the Gas Again! MEDC to PGAS Stocks Can Still Be Bought,IHSG Today Steps Gas ! MEDC PGAS Stocks Still Bought,POSITIVE
"BNI Ekspansi Green Banking Korporasi Rp 6,1 Triliun",detikFinance,2022-04-16 06:07:00,BNI Expands Corporate Green Banking by IDR 6.1 Trillion,BNI Expands Corporate Green Banking IDR 6.1 Trillion,POSITIVE
"Mengenal Indeks Saham IDX30, Fungsi serta Daftar Lengkapnya",detikFinance,2022-04-13 09:31:00,"Getting to Know the IDX30 Stock Index, Its Functions and Complete List","Getting Know IDX30 Stock Index , Functions Complete List",POSITIVE
"IHSG Hari Ini Masih Ngacir, Cek Saham-saham yang Bisa Untung!",detikFinance,2022-04-05 09:13:00,"IHSG Still Running Away Today, Check Out Stocks That Can Make a Profit!","IHSG Still Running Away Today , Check Stocks Make Profit !",NEGATIVE
"Ramalan Laju IHSG Rabu, Semoga Nggak Kelabu",detikFinance,2022-03-16 09:01:00,"IHSG Rate Forecast for Wednesday, Hopefully Not Gray","IHSG Rate Forecast Wednesday , Hopefully Gray",POSITIVE
"BNI Sebar Dividen Rp 2,72 Triliun, Per Lembar Saham Dapat Berapa?",detikFinance,2022-03-15 17:49:00,"BNI Distributes IDR 2.72 Trillion in Dividends, How Much Per Share?","BNI Distributes IDR 2.72 Trillion Dividends , Much Per Share ?",POSITIVE
"IHSG Hari Ini Dibuka Melesat 1% Lebih, Cetak Rekor Lagi",detikFinance,2022-03-01 09:14:00,"IHSG Opens Today Soaring More Than 1%, Setting Another Record","IHSG Opens Today Soaring 1 % , Setting Another Record",POSITIVE
"IHSG Hari Ini di Luar Dugaan, Sesi 1 Naik Hampir 1%",detikFinance,2022-02-25 12:08:00,"IHSG Today Beyond Expectations, Session 1 Up Almost 1%","IHSG Today Beyond Expectations , Session 1 Almost 1 %",POSITIVE
"IHSG Hari Ini Dibuka Menguat, Cek Saham-saham yang Bisa Bikin Untung",detikFinance,2022-02-25 09:13:00,"IHSG Opens Stronger Today, Check Out Stocks That Can Make Profits","IHSG Opens Stronger Today , Check Stocks Make Profits",POSITIVE
"IHSG Hari Ini 'Kebakaran', Cek Rekomendasi Saham Berikut!",detikFinance,2022-02-24 09:10:00,"IHSG Today 'On Fire', Check Out the Following Stock Recommendations!","IHSG Today 'On Fire ' , Check Following Stock Recommendations !",POSITIVE
Transformasi Himbara Dongkrak Kinerja Ekonomi,detikFinance,2022-02-21 20:12:00,Himbara Transformation Boosts Economic Performance,Himbara Transformation Boosts Economic Performance,POSITIVE
"IHSG Lagi Tancap Gas, Simak Rekomendasi Saham Biar Cuan",detikFinance,2022-02-10 14:12:00,"IHSG is Stepping on the Gas Again, Check Out Stock Recommendations to Make Money","IHSG Stepping Gas , Check Stock Recommendations Make Money",NEGATIVE
"Gaji Komisaris-Direksi Bank BUMN-Swasta Top RI Ini, Sampai Miliaran!",detikFinance,2022-02-10 10:28:00,The Salaries of Commissioners and Directors of Top State-Owned and Private Banks in Indonesia Reach Billions!,Salaries Commissioners Directors Top State-Owned Private Banks Indonesia Reach Billions !,POSITIVE
"Bisnis Internasional Moncer, BNI Siap Tambah Kantor di Luar Negeri",detikFinance,2022-02-09 15:54:00,"International Business is Booming, BNI is Ready to Add Offices Abroad","International Business Booming , BNI Ready Add Offices Abroad",POSITIVE
Tips Atur Modal Usaha buat UMKM Biar Bisnis Moncer,detikFinance,2022-02-04 16:55:00,Tips for Managing Business Capital for MSMEs to Make Your Business Successful,Tips Managing Business Capital MSMEs Make Business Successful,POSITIVE
"Torehkan Kinerja Excellence, BNI Terus Didorong Go Internasional",detikFinance,2022-01-30 10:54:00,"Achieving Excellence Performance, BNI Continues to be Encouraged to Go International","Achieving Excellence Performance , BNI Continues Encouraged Go International",POSITIVE
"BNI Bukukan Laba Bersih Rp 10,89 T di 2021, Melesat 232%",detikFinance,2022-01-26 11:07:00,"BNI Records Net Profit of IDR 10.89 T in 2021, Soaring 232%","BNI Records Net Profit IDR 10.89 2021 , Soaring 232 %",POSITIVE
Penurunan Kredit Berisiko Jadi Indikator Positif Kinerja BNI,detikFinance,2022-01-12 10:11:00,Decrease in Risky Credit is a Positive Indicator of BNI's Performance,Decrease Risky Credit Positive Indicator BNI 's Performance,POSITIVE
"Transaksi LCS di Jepang Tertinggi, BNI Siap Manfaatkan Peluang",detikFinance,2022-01-11 14:18:00,"LCS Transactions in Japan Highest, BNI Ready to Take Advantage of Opportunities","LCS Transactions Japan Highest , BNI Ready Take Advantage Opportunities",POSITIVE
"Perbankan Tak Bisa Mendadak Setop Biayai Batu Bara, Ini Sebabnya",detikFinance,2022-01-05 21:07:00,"Banks Can't Suddenly Stop Financing Coal, Here's Why","Banks Ca n't Suddenly Stop Financing Coal , 's",NEGATIVE
Kata BNI Soal Rumor Caplok Bank Mayora,detikFinance,2021-12-21 10:54:00,BNI's Statement on Rumors of Acquisition of Bank Mayora,BNI 's Statement Rumors Acquisition Bank Mayora,POSITIVE
BNI Buka-bukaan soal Rencana Rights Issue,detikFinance,2021-12-07 21:45:00,BNI Opens Up About Rights Issue Plans,BNI Opens Rights Issue Plans,POSITIVE
BNI Gandeng fishOn Dorong Ekspor Perikanan Maumere,detikFinance,2021-10-31 08:54:00,BNI Partners with fishOn to Boost Maumere Fisheries Exports,BNI Partners fishOn Boost Maumere Fisheries Exports,POSITIVE
Asal Muasal Rumor BNI Akuisisi Bank,detikFinance,2021-10-17 22:59:00,The Origin of the Rumor of BNI Acquiring a Bank,Origin Rumor BNI Acquiring Bank,POSITIVE
Kata Analis soal BNI yang Mau Akuisisi dan Bikin Bank Digital,detikFinance,2021-10-17 21:32:00,Analyst's Words on BNI Wanting to Acquire and Create a Digital Bank,Analyst 's Words BNI Wanting Acquire Create Digital Bank,POSITIVE
Siap-siap! IHSG Diprediksi Tembus Rekor Baru di Tahun Ini,detikFinance,2021-10-07 14:39:00,Get Ready! IHSG Predicted to Break New Record This Year,Get Ready ! IHSG Predicted Break New Record Year,POSITIVE
BNI Dukung BI Implementasikan LCS untuk Dukung Bisnis Internasional,detikFinance,2021-10-07 09:52:00,BNI Supports BI in Implementing LCS to Support International Business,BNI Supports BI Implementing LCS Support International Business,POSITIVE
Chandra Asri Dapat Fasilitas Balloon Payment US$ 250 Juta dari BNI,detikFinance,2021-10-05 16:20:00,Chandra Asri Gets US$ 250 Million Balloon Payment Facility from BNI,Chandra Asri Gets US $ 250 Million Balloon Payment Facility BNI,POSITIVE
BNI Dorong Peningkatan Kredit untuk Topang Pertumbuhan Ekonomi,detikFinance,2021-09-03 11:06:00,BNI Pushes for Credit Increase to Support Economic Growth,BNI Pushes Credit Increase Support Economic Growth,POSITIVE
"Bisnis Bank BUMN Tidak Tumpang Tindih, Ini Gambaran Spesialisasinya",detikFinance,2021-08-31 16:41:00,"State-Owned Bank Businesses Do Not Overlap, Here's a Look at Their Specializations","State-Owned Bank Businesses Overlap , 's Look Specializations",NEGATIVE
"IHSG Diprediksi Menguat, Ini Rekomendasi Saham Hari Ini",detikFinance,2021-08-31 08:59:00,"IHSG Predicted to Strengthen, Here are Today's Stock Recommendations","IHSG Predicted Strengthen , Today 's Stock Recommendations",POSITIVE
Kredit Infrastruktur Dinilai Jadi Solusi Kesenjangan di Daerah,detikFinance,2021-08-30 16:52:00,Infrastructure Credit Considered a Solution to Regional Disparities,Infrastructure Credit Considered Solution Regional Disparities,POSITIVE
Perbankan Masih Bisa Garap Potensi di Beberapa Sektor Ini,detikFinance,2021-08-26 12:36:00,Banking Can Still Tap Potential in These Sectors,Banking Still Tap Potential Sectors,POSITIVE
Menilai Kelayakan PMN Rp 7 Triliun untuk BNI,detikFinance,2021-08-20 16:21:00,Assessing the Feasibility of PMN of IDR 7 Trillion for BNI,Assessing Feasibility PMN IDR 7 Trillion BNI,NEGATIVE
"Ada PPKM, BNI Kantongi Rp 756 M dari Transaksi Online",detikFinance,2021-08-16 12:55:00,"With PPKM, BNI Pockets IDR 756 M from Online Transactions","PPKM , BNI Pockets IDR 756 Online Transactions",NEGATIVE
"Melonjak 12,8%, Laba BNI Semester I 2021 Tembus Rp 5 T",detikFinance,2021-08-16 11:38:00,BNI's First Semester 2021 Profit Soars 12.8% to IDR 5 Trillion,BNI 's First Semester 2021 Profit Soars 12.8 % IDR 5 Trillion,POSITIVE
"Ada Pandemi, Sektor Perbankan Mulai Ubah Strategi",detikFinance,2021-08-06 22:30:00,"There is a Pandemic, the Banking Sector Begins to Change Strategy","Pandemic , Banking Sector Begins Change Strategy",NEGATIVE
"BNI Ultah ke 75 Tahun, Intip Kinerjanya di Sini",detikFinance,2021-07-06 09:46:00,"BNI Celebrates 75th Anniversary, Check Out Its Performance Here","BNI Celebrates 75th Anniversary , Check Performance",POSITIVE
Bos Himbara Blak-blakan soal Cek Saldo & Tarik Tunai ATM Link Berbayar,detikFinance,2021-05-25 19:45:00,Himbara Boss Opens Up About Checking Balance & Cash Withdrawals at Paid Link ATMs,Himbara Boss Opens Checking Balance & Cash Withdrawals Paid Link ATMs,POSITIVE
Penjelasan BNI soal Rencana Tutup 96 Kantor Cabang,detikFinance,2021-05-19 10:37:00,BNI's Explanation Regarding Plan to Close 96 Branch Offices,BNI 's Explanation Regarding Plan Close 96 Branch Offices,NEGATIVE
"AEON Mall Sentul City Dijual Rp 1,9 T, Buat Apa?",detikFinance,2021-04-25 14:33:00,"AEON Mall Sentul City Sold for IDR 1.9 T, What for?","AEON Mall Sentul City Sold IDR 1.9 , ?",NEGATIVE
"3 Fakta di Balik Sentul City Jual AEON Rp 1,9 Triliun",detikFinance,2021-04-20 18:30:00,3 Facts Behind Sentul City Selling AEON for IDR 1.9 Trillion,3 Facts Behind Sentul City Selling AEON IDR 1.9 Trillion,NEGATIVE
"Investor Kabur Usai AEON Mall Dijual, Saham Sentul City Rontok",detikFinance,2021-04-20 14:18:00,"Investors Flee After AEON Mall is Sold, Sentul City Shares Plunge","Investors Flee AEON Mall Sold , Sentul City Shares Plunge",NEGATIVE
Sentul City Terpaksa Jual AEON Gara-gara Utangnya Menggunung!,detikFinance,2021-04-20 10:16:00,Sentul City Forced to Sell AEON Due to Mounting Debts!,Sentul City Forced Sell AEON Due Mounting Debts !,NEGATIVE
"Deal! AEON Mall Sentul City Dijual Rp 1,9 T",detikFinance,2021-04-20 05:30:00,Deal! AEON Mall Sentul City For Sale Rp 1.9 T,Deal ! AEON Mall Sentul City Sale Rp 1.9,POSITIVE
"AEON Sentul Laku Rp 1,9 T, Uangnya buat Apa Saja?",detikFinance,2021-04-19 18:00:00,"AEON Sentul Sells for IDR 1.9 T, What's the Money Used for?","AEON Sentul Sells IDR 1.9 , 's Money Used ?",NEGATIVE
"Sentul City Jual AEON Mall, Duitnya buat Bayar Utang Bank Rp 900 M",detikFinance,2021-04-19 13:01:00,"Sentul City Sells AEON Mall, Money to Pay Rp 900 M Bank Debt","Sentul City Sells AEON Mall , Money Pay Rp 900 Bank Debt",NEGATIVE
"Intip Laba Bersih 10 Bank Terbesar RI, Siapa Tumbuh Paling Tinggi?",detikFinance,2021-04-04 19:56:00,"Peek at the Net Profit of the 10 Largest Banks in Indonesia, Who Grows the Highest?","Peek Net Profit 10 Largest Banks Indonesia , Grows Highest ?",POSITIVE
"BNI Bagi-bagi Dividen Rp 820 M, Negara Kebagian Rp 492 M",detikFinance,2021-03-29 17:39:00,"BNI Distributes IDR 820 Billion in Dividends, State Gets IDR 492 Billion","BNI Distributes IDR 820 Billion Dividends , State Gets IDR 492 Billion",POSITIVE
"Erwin Rijanto, Eks Deputi Gubernur BI Jabat Komisaris BNI",detikFinance,2021-03-29 17:16:00,"Erwin Rijanto, Former Deputy Governor of BI, Becomes Commissioner of BNI","Erwin Rijanto , Former Deputy Governor BI , Becomes Commissioner BNI",POSITIVE
"Hebat! BNI Tumbuhkan Dunia Usaha Lewat Restrukturisasi Rp 102,4 T",detikFinance,2021-01-29 19:26:00,Great! BNI Grows Business World Through Rp 102.4 T Restructuring,Great ! BNI Grows Business World Rp 102.4 Restructuring,POSITIVE
"Terapkan Strategi Hebat, Laba BNI Tumbuh Selama Pandemi",detikFinance,2021-01-29 18:44:00,"Implementing Great Strategy, BNI Profit Grows During Pandemic","Implementing Great Strategy , BNI Profit Grows Pandemic",POSITIVE
"IHSG Diprediksi Menguat, Simak Rekomendasi Saham Hari Ini",detikFinance,2021-01-29 08:51:00,"IHSG Predicted to Strengthen, Check Out Today's Stock Recommendations","IHSG Predicted Strengthen , Check Today 's Stock Recommendations",POSITIVE
"IHSG Diprediksi Melemah, Berikut Rekomendasi Saham Hari Ini",detikFinance,2021-01-26 08:45:00,"IHSG Predicted to Weaken, Here are Today's Stock Recommendations","IHSG Predicted Weaken , Today 's Stock Recommendations",NEGATIVE
"Potensi Besar BRI: UMKM, Rencana Akuisisi, dan Direksi Muda",detikFinance,2021-01-22 22:13:00,"BRI's Great Potential: MSMEs, Acquisition Plans, and Young Directors","BRI 's Great Potential : MSMEs , Acquisition Plans , Young Directors",POSITIVE
"Prediksi Saham Hari Ini, Kuy Disimak!",detikFinance,2021-01-21 09:06:00,"Today's Stock Predictions, Let's Check It Out!","Today 's Stock Predictions , Let 's Check !",POSITIVE
"Mirae Asset: IHSG Diperkirakan Menguat, Sambut Joe Biden",detikFinance,2020-11-09 08:58:00,"Mirae Asset: IHSG Expected to Strengthen, Welcomes Joe Biden","Mirae Asset : IHSG Expected Strengthen , Welcomes Joe Biden",POSITIVE
"Bakal Ada Produk Investasi Baru Nih, Beli Saham Bisa DP Dulu Lho",detikFinance,2020-11-03 21:40:00,"There Will Be a New Investment Product, You Can Buy Shares with a Down Payment First","New Investment Product , Buy Shares Payment First",POSITIVE
Mau Cuan Minggu Depan? Cek Nih 6 Rekomendasi Sahamnya,detikFinance,2020-09-27 17:59:00,Want to Make Money Next Week? Check Out These 6 Stock Recommendations,Want Make Money Next Week ? Check 6 Stock Recommendations,POSITIVE
"Digeser dari Mandiri, Royke Tumilaar Jadi Dirut BNI",detikFinance,2020-09-02 15:08:00,"Shifted from Mandiri, Royke Tumilaar becomes Managing Director of BNI","Shifted Mandiri , Royke Tumilaar becomes Managing Director BNI",POSITIVE
Mirae Asset Sekuritas: IHSG Bakal Lebih Tinggi,detikFinance,2020-08-25 09:16:00,Mirae Asset Securities: IHSG Will Be Higher,Mirae Asset Securities : IHSG Higher,POSITIVE
"Dapat Suntikan Dana Rp 30 T, Saham Bank BUMN Kok Malah Melempem?",detikFinance,2020-08-03 10:19:00,"Received IDR 30 T Cash Injection, Why Are State-Owned Bank Shares Actually Weak?","Received IDR 30 Cash Injection , State-Owned Bank Shares Actually Weak ?",NEGATIVE
"Bank BUMN Dapat Titipan Rp 30 T, Ini Pesan Sri Mulyani-Erick Thohir",detikFinance,2020-06-24 17:00:00,"State-Owned Banks Receive IDR 30 Trillion in Deposits, This is Sri Mulyani-Erick Thohir's Message","State-Owned Banks Receive IDR 30 Trillion Deposits , Sri Mulyani-Erick Thohir 's Message",NEGATIVE
"Bedah Saham BNI, Benarkah Sudah Murah?",detikFinance,2020-04-15 14:58:00,"BNI Stock Analysis, Is It Really Cheap?","BNI Stock Analysis , Really Cheap ?",NEGATIVE
